index,win,baronFirst,baronKills,championFirst,championKills,dragonFirst,hordeFirst,inhibitorFirst,inhibitorKills,riftHeraldFirst,riftHeraldKills,towerFirst,towerKills,dragonKills_0,dragonKills_1,dragonKills_2,dragonKills_3,dragonKills_4,dragonKills_5,dragonKills_6,hordeKills_0,hordeKills_1,hordeKills_2,hordeKills_3,hordeKills_4,hordeKills_5,hordeKills_6
NA1_4944900685,True,False,0,True,24,True,False,False,0,True,1,True,5,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4944868254,False,False,0,False,21,False,False,False,0,False,0,False,5,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4944831054,True,True,1,False,47,True,True,False,2,False,0,False,9,False,False,False,False,False,True,False,False,False,True,False,False,False,False
NA1_4944770323,False,False,0,False,22,False,False,False,0,False,0,False,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False
NA1_4944744201,True,True,2,False,22,True,True,True,2,True,1,True,8,False,False,False,False,True,False,False,False,False,False,False,False,False,True
NA1_4944091976,True,True,1,True,35,True,True,False,0,False,0,True,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4944058850,False,False,0,False,22,True,True,False,0,True,1,False,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4944018329,False,False,0,False,23,False,True,False,0,False,0,True,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False
NA1_4943995972,False,False,0,False,6,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4943839025,False,False,0,False,55,False,False,False,2,False,0,False,6,False,False,False,True,False,False,False,True,False,False,False,False,False,False
NA1_4943810141,True,True,1,False,42,False,True,True,5,False,0,True,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4943758910,True,False,1,True,42,True,True,True,3,True,1,True,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False
NA1_4943728681,False,False,0,True,38,False,False,False,1,False,0,True,5,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4943704526,True,False,0,True,48,True,True,False,4,False,0,False,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False
NA1_4943678694,True,False,0,True,50,False,True,True,4,True,1,True,11,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4943344939,True,True,1,True,38,True,False,True,1,False,0,False,8,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4943312135,False,False,0,False,24,False,False,False,0,False,0,True,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4943270269,False,False,0,False,26,False,True,False,0,False,0,False,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4943151699,True,False,0,True,29,True,True,True,3,True,1,True,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True
