win,baronFirst,baronKills,championFirst,championKills,dragonFirst,hordeFirst,inhibitorFirst,riftHeraldFirst,riftHeraldKills,towerFirst,towerKills,inhibitorKills_0,inhibitorKills_1,inhibitorKills_2,inhibitorKills_3,inhibitorKills_4,inhibitorKills_5,inhibitorKills_7,dragonKills_0,dragonKills_1,dragonKills_2,dragonKills_3,dragonKills_4,dragonKills_5,hordeKills_0,hordeKills_1,hordeKills_2,hordeKills_3,hordeKills_4,hordeKills_5,hordeKills_6,inhibitorKills_6,dragonKills_6
False,True,1,False,62,False,False,True,False,0,False,7,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,,
False,False,0,False,28,False,False,False,False,0,False,6,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,
False,False,0,False,42,False,True,False,True,1,True,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,
True,True,1,False,43,True,False,True,False,0,False,10,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,,
False,False,0,False,25,False,True,False,True,1,True,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
True,True,1,True,33,False,True,True,True,1,False,7,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,
True,True,1,True,60,False,False,True,False,0,True,9,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,
False,False,0,True,8,True,False,False,False,0,False,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,53,True,True,True,True,1,True,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,,
False,False,0,False,20,False,True,False,True,1,True,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,
False,False,0,True,14,False,True,False,True,1,True,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,
True,False,0,True,27,False,True,True,True,1,True,10,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
True,False,0,True,32,False,True,True,True,1,True,10,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,
True,False,0,False,35,True,True,True,False,0,True,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,
True,False,0,True,43,True,False,False,True,1,True,5,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,
False,False,0,True,26,True,False,False,True,1,True,3,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,
True,False,0,True,37,True,False,True,False,0,False,10,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,
True,True,1,False,42,True,False,True,True,1,True,11,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,
False,False,0,False,13,False,False,False,False,0,False,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,
False,False,0,False,50,True,False,False,True,1,True,9,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,
False,False,0,False,27,False,True,True,True,1,False,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,
